Region,Land_Type,Ownership,Mortality_frac
Central_Coast,Forest,BLM,0.013
Central_Coast,Forest,DoD,0.013
Central_Coast,Forest,Easement,0.0076
Central_Coast,Forest,Local_gov,0.0043
Central_Coast,Forest,NPS,0.013
Central_Coast,Forest,Other_fed,0.0146
Central_Coast,Forest,Private,0.0069
Central_Coast,Forest,State_gov,0.0043
Central_Coast,Forest,USFS_nonwild,0.0241
Central_Valley,Forest,BLM,0
Central_Valley,Forest,DoD,0
Central_Valley,Forest,Easement,0.0089
Central_Valley,Forest,Local_gov,0.0001
Central_Valley,Forest,Other_fed,0.0146
Central_Valley,Forest,Private,0.008
Central_Valley,Forest,State_gov,0.0001
Delta,Forest,BLM,0
Delta,Forest,DoD,0
Delta,Forest,Easement,0.0089
Delta,Forest,Local_gov,0.0001
Delta,Forest,Other_fed,0.0146
Delta,Forest,Private,0.008
Delta,Forest,State_gov,0.0001
Deserts,Forest,BLM,0.041
Deserts,Forest,DoD,0.041
Deserts,Forest,Easement,0.0105
Deserts,Forest,Local_gov,0.0267
Deserts,Forest,NPS,0.041
Deserts,Forest,Other_fed,0.0146
Deserts,Forest,Private,0.0097
Deserts,Forest,State_gov,0.0267
Deserts,Forest,USFS_nonwild,0.042
Eastside,Forest,BLM,0.0013
Eastside,Forest,DoD,0.0013
Eastside,Forest,Easement,0.0018
Eastside,Forest,Local_gov,0.0002
Eastside,Forest,NPS,0.0013
Eastside,Forest,Other_fed,0.0146
Eastside,Forest,Private,0.0106
Eastside,Forest,State_gov,0.0002
Eastside,Forest,USFS_nonwild,0.0053
Klamath,Forest,BLM,0.0083
Klamath,Forest,DoD,0.0083
Klamath,Forest,Easement,0.0059
Klamath,Forest,Local_gov,0.0161
Klamath,Forest,NPS,0.0083
Klamath,Forest,Other_fed,0.0146
Klamath,Forest,Private,0.007
Klamath,Forest,State_gov,0.0161
Klamath,Forest,USFS_nonwild,0.011
North_Coast,Forest,BLM,0.0031
North_Coast,Forest,DoD,0.0031
North_Coast,Forest,Easement,0.0033
North_Coast,Forest,Local_gov,0.0072
North_Coast,Forest,NPS,0.0031
North_Coast,Forest,Other_fed,0.0146
North_Coast,Forest,Private,0.0035
North_Coast,Forest,State_gov,0.0072
North_Coast,Forest,USFS_nonwild,0.0069
Sierra_Casdades,Forest,BLM,0.0081
Sierra_Casdades,Forest,DoD,0.0081
Sierra_Casdades,Forest,Easement,0.0063
Sierra_Casdades,Forest,Local_gov,0.0038
Sierra_Casdades,Forest,NPS,0.0081
Sierra_Casdades,Forest,Other_fed,0.0146
Sierra_Casdades,Forest,Private,0.0069
Sierra_Casdades,Forest,State_gov,0.0038
Sierra_Casdades,Forest,USFS_nonwild,0.0117
South_Coast,Forest,BLM,0.041
South_Coast,Forest,DoD,0.041
South_Coast,Forest,Easement,0.0105
South_Coast,Forest,Local_gov,0.0267
South_Coast,Forest,NPS,0.041
South_Coast,Forest,Other_fed,0.0146
South_Coast,Forest,Private,0.0097
South_Coast,Forest,State_gov,0.0267
South_Coast,Forest,USFS_nonwild,0.042